Team Name,Insta_ID,Number of Posts,Number of Followers
Atlanta Hawks,atlhawks,7336,1M
Boston Celtics,celtics,7822,4.2M
Brooklyn Nets,brooklynnets,6363,1.2M
Charlotte Hornets,hornets,9653,1M
Chicago Bulls,chicagobulls,5202,4.4M
Cleveland Cavaliers,cavs,11K,7.2M
Dallas Mavericks,dallasmavs,6228,1.2M
Denver Nuggets,nuggets,6441,946K
Detroit Pistons,detroitpistons,8756,895K
Golden State Warriors,warriors,10.9K,12.1M
Houston Rockets,houstonrockets,8462,3.7M
Indiana Pacers,pacers,8240,1.5M
LA Clippers,laclippers,7596,2.1M
Los Angeles Lakers,lakers,6851,8.4M
Memphis Grizzlies,memgrizz,8086,740K
Miami Heat,miamiheat,11.5K,3.4M
Milaukee Bucks,bucks,12.3K,1.8M
Minnesota Timberwolves,timberwolves,5995,1.5M
New Orleans Pelicans,pelicansnba,5848,1.2M
New York Knicks,nyknicks,8945,2M
Oklahoma City Thunder,okcthunder,15.9K,4.2M
Orlando Magic,orlandomagic,7928,894K
Philadelphia 76ers,sixers,8048,1.9M
Phoenix Suns,suns,9528,1M
Portland Trail Blazers,trailblazers,9165,1.4M
Sacramento Kings,sacramentokings,7790,1.1M
San Antonio Spurs,spurs,8671,2.6M
Toronto Raptors,raptors,7783,2.4M
Utah Jazz,utahjazz,7740,814K
Washington Wizards,washwizards,9779,1M
